model,engine,top_speed,chassis,modes
Porsche 918 Spyder,4.6 L V8 + Electric Motors,345 km/h (214 mph),Carbon-fibre-reinforced plastic monocoque,"E-Drive, Hybrid, Race"
Bugatti Chiron,8.0 L Quad-Turbo W16,420 km/h (261 mph),Carbon-fibre monocoque,"EB, Autobahn, Handling, Top Speed"
Tesla Model S Plaid,Triple Electric Motor,322 km/h (200 mph),Aluminum-intensive,"Chill, Sport, Plaid"
McLaren P1,3.8 L Twin-Turbo V8 + Electric Motor,350 km/h (217 mph),Carbon-fibre monocoque,"E-mode, Normal, Sport, Track"
Ferrari SF90 Stradale,4.0 L Twin-Turbo V8 + Electric Motors,340 km/h (211 mph),Carbon-fibre and Aluminum,"eDrive, Hybrid, Performance, Qualify"
Lamborghini Aventador SVJ,6.5 L Naturally Aspirated V12,350 km/h (217 mph),Carbon-fibre monocoque,"Strada, Sport, Corsa, Ego"
Koenigsegg Jesko,5.0 L Twin-Turbo V8,482 km/h (300 mph),Carbon-fibre monocoque,"Comfort, Track, Wet"
Aston Martin Valkyrie,6.5 L Naturally Aspirated V12 + Electric Motor,402 km/h (250 mph),Carbon-fibre monocoque,"Track, Road"
Rimac Nevera,Quad Electric Motors,412 km/h (256 mph),Carbon-fibre monocoque,"Range, Comfort, Sport, Track"
Pagani Huayra BC,6.0 L Twin-Turbo V12,370 km/h (230 mph),Carbotitanium,"Comfort, Sport, Track"
Chevrolet Corvette Z06,5.5 L Naturally Aspirated V8,315 km/h (196 mph),Aluminum-intensive with Carbon-fibre,"Tour, Sport, Track"
Nissan GT-R Nismo,3.8 L Twin-Turbo V6,330 km/h (205 mph),Hybrid Carbon-fibre and Steel,"R, Comfort, Normal"
BMW i8,1.5 L Turbo I3 + Electric Motors,250 km/h (155 mph),Carbon-fibre-reinforced plastic,"Eco Pro, Comfort, Sport"
Mercedes-AMG One,1.6 L Turbo Hybrid V6,352 km/h (218 mph),Carbon-fibre monocoque,"Race, EV, Race Plus, Strat 2"
Ford GT,3.5 L Twin-Turbo V6,348 km/h (216 mph),Carbon-fibre monocoque,"Normal, Sport, Track, Wet"
